vessel,hatchdeck,ffmcodes,codprod,packhouse,idpalet,colpal,datescan,hourscan
00302,01A,611124520,0354,7404V,007876,0352,19-Dec-06,1806
00302,01A,611124520,0354,7802F,002642,0352,19-Dec-06,1805
00302,01A,611124520,0354,7802F,002658,0352,19-Dec-06,1805
00302,01A,611124520,0354,7802F,002668,0352,19-Dec-06,1807
00302,01A,611124520,0354,7802F,002693,0352,19-Dec-06,1806
00302,01A,611124520,0354,7808L,812966,0352,19-Dec-06,1648
00302,01A,611124520,0354,7814R,012421,0352,19-Dec-06,1923
00302,01A,611124520,0354,7814R,012458,0352,19-Dec-06,1937
00302,01A,611124520,0361,7114H,010960,0352,19-Dec-06,1708
00302,01A,611124520,0361,7802F,002618,0352,19-Dec-06,1806
00302,01A,611124520,0361,7802F,002665,0352,19-Dec-06,1846
00302,01A,611124520,0361,7814R,012562,0352,19-Dec-06,1726
00302,01A,611124520,0378,7814R,012538,0352,19-Dec-06,1937
00302,01A,611124520,0576,7114H,007066,0099,19-Dec-06,1847
00302,01A,611124520,0576,7114H,007097,0099,19-Dec-06,1847
00302,01A,611124520,0576,7114H,007603,0099,19-Dec-06,1847
00302,01A,611124520,0576,7114H,007609,0099,19-Dec-06,1847
00302,01A,611124520,0576,7404V,008118,0099,19-Dec-06,1851
00302,01A,611124520,0576,7404V,008120,0099,19-Dec-06,1851
00302,01A,611124520,0576,7404V,008121,0099,19-Dec-06,1822
00302,01A,611124520,0576,7404V,008129,0099,19-Dec-06,1851
00302,01A,611124520,0576,7404V,008131,0099,19-Dec-06,1822
00302,01A,611124520,0576,7404V,008132,0099,19-Dec-06,1851
00302,01A,611124520,0576,7406A,024336,0099,19-Dec-06,1846
00302,01A,611124520,0576,7406A,024348,0099,19-Dec-06,1847
00302,01A,611124520,0576,7406A,024363,0099,19-Dec-06,1851
00302,01A,611124520,0576,7704W,006509,0099,19-Dec-06,1852
00302,01A,611124520,0576,7704W,006532,0099,19-Dec-06,1846
00302,01A,611124520,0576,7704W,006534,0099,19-Dec-06,1852
00302,01A,611124520,0576,7802F,002815,0090,19-Dec-06,1814
00302,01A,611124520,0576,7802F,002830,0090,19-Dec-06,1815
00302,01A,611124520,0576,7802F,002839,0090,19-Dec-06,1814
00302,01A,611124520,0576,7802F,002852,0090,19-Dec-06,1815
00302,01A,611124520,0576,7802F,002856,0090,19-Dec-06,1821
00302,01A,611124520,0576,7802F,002867,0090,19-Dec-06,1815
00302,01A,611124520,0576,7802F,002870,0090,19-Dec-06,1822
00302,01A,611124520,0576,7802F,002875,0090,19-Dec-06,1815
